,id,no_chars
0,0812.4283,557
1,0812.4305,230
2,0812.2300,367
3,0812.2889,383
4,0812.2252,503
5,0812.4186,91
6,0812.0304,546
7,0812.3367,277
8,0812.4831,331
9,0812.0347,335
10,0812.3106,539
11,0812.4231,373
12,0812.4107,235
13,0812.4660,191
14,0812.1290,192
15,0812.2033,786
16,0812.1012,144
17,0812.2472,234
18,0812.2890,567
19,0812.0431,99
20,0812.1090,162
21,0812.4096,375
22,0812.0185,230
23,0812.0929,366
24,0812.2516,346
25,0812.3961,172
26,0812.1391,448
27,0812.3478,30063
28,0812.3569,312
29,0812.5037,173
30,0812.2019,295
31,0812.4275,142
32,0812.1305,359
33,0812.0560,148
34,0812.1587,152
35,0812.4405,822
36,0812.1337,519
37,0812.0632,465
38,0812.3372,459
39,0812.1907,196
40,0812.2923,20146
41,0812.1580,779
42,0812.2979,431
43,0812.3018,420
44,0812.3141,443
45,0812.3522,541
46,0812.3503,658
47,0812.3275,101
48,0812.1175,210
49,0812.0460,137
50,0812.2159,270
51,0812.4428,471
52,0812.3779,217
53,0812.2686,186
54,0812.4905,636
55,0812.0773,321
56,0812.3977,168
57,0812.4719,393
58,0812.0209,221
59,0812.4933,746
60,0812.4752,155
61,0812.1467,440
62,0812.1837,147
63,0812.1554,144
64,0812.2256,291
65,0812.4267,471
66,0812.2405,465
67,0812.0868,383
68,0812.3044,197
69,0812.3298,73
70,0812.1518,183
71,0812.2007,168
72,0812.0433,212
73,0812.2608,233
74,0812.3877,253
75,0812.1224,349
76,0812.0574,1867
77,0812.0744,333
78,0812.3057,429
79,0812.1589,485
80,0812.0903,1000
81,0812.3108,288
82,0812.0319,262
83,0812.4487,443
84,0812.3150,458
85,0812.3126,705
86,0812.0444,137
87,0812.2221,1261
88,0812.0071,366
89,0812.5055,338
90,0812.0365,469
91,0812.3692,219
92,0812.2442,183
93,0812.1558,295
94,0812.3879,528
95,0812.2579,161
96,0812.1020,381
97,0812.4812,347
98,0812.2876,297
99,0812.0651,297
100,0812.3309,804
101,0812.3678,93
102,0812.3272,581
103,0812.4076,159
104,0812.4469,14086
105,0812.2632,464
106,0812.0646,209
107,0812.0536,329
108,0812.4810,522
109,0812.3705,526
110,0812.1061,223
111,0812.1361,423
112,0812.4427,225
113,0812.1004,219
114,0812.2865,101
115,0812.2154,350
116,0812.2965,733
117,0812.2275,186
118,0812.5063,255
119,0812.0345,499
120,0812.3418,297
121,0812.3033,197
122,0812.0649,3823
123,0812.0893,405
124,0812.0286,110
125,0812.3973,365
126,0812.3653,577
127,0812.2791,213
128,0812.1755,816
129,0812.0647,384
130,0812.4710,416
131,0812.3088,449
132,0812.4811,3860
133,0812.3156,190
134,0812.2613,129
135,0812.0349,214
136,0812.4104,155
